Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 8;;Curve No. 9;;Curve No. 10;;Curve No. 11;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.08999998;1784.545;0.08999998;1651.08;0.08999998;2199.161;0.08999998;1665.827;0.08999998;1661.027;0.08999998;1984.159;0.08999998;1875.441;0.08999998;2115.498;0.08999998;2208.56;0.08999998;2003.651
0.09299998;1828.271;0.09299998;1689.544;0.09299998;2262.184;0.09299998;1706.924;0.09299998;1699.058;0.09299998;2032.364;0.09299998;1924.679;0.09299998;2174.696;0.09299998;2270.277;0.09299998;2055.857
0.09599998;1873.021;0.09599998;1728.068;0.09599998;2325.47;0.09599998;1749.371;0.09599998;1737.554;0.09599998;2082.051;0.09599998;1973.981;0.09599998;2235.756;0.09599998;2333.093;0.09599998;2109.117
0.09899998;1918.521;0.09899998;1767.765;0.09899998;2384.469;0.09899998;1792.088;0.09899998;1776.53;0.09899998;2131.738;0.09899998;2024.419;0.09899998;2297.3;0.09899998;2396.366;0.09899998;2162.773
0.102;1964.709;0.102;1807.462;0.102;2441.2;0.102;1835.999;0.102;1816.127;0.102;2182.853;0.102;2075.216;0.102;2360.008;0.102;2456.66;0.102;2217.324
0.105;2011.983;0.105;1848.125;0.105;2498.614;0.105;1880.571;0.105;1856.088;0.105;2234.122;0.105;2126.9;0.105;2423.483;0.105;2514.139;0.105;2272.667
0.108;2059.584;0.108;1888.947;0.108;2556.828;0.108;1926.01;0.108;1897.186;0.108;2286.577;0.108;2179.272;0.108;2484.279;0.108;2572.046;0.108;2328.518
0.111;2108.514;0.111;1930.715;0.111;2615.421;0.111;1972.486;0.111;1938.361;0.111;2339.514;0.111;2232.142;0.111;2541.257;0.111;2630.848;0.111;2385.383
0.114;2157.459;0.114;1972.954;0.114;2675.054;0.114;2019.466;0.114;1980.997;0.114;2393.273;0.114;2285.871;0.114;2598.612;0.114;2689.83;0.114;2442.454
0.117;2208.129;0.117;2015.806;0.117;2734.784;0.117;2067.837;0.117;2023.633;0.117;2447.791;0.117;2339.884;0.117;2657.306;0.117;2749.989;0.117;2500.817
0.12;2258.8;0.12;2059.331;0.12;2795.755;0.12;2116.335;0.12;2067.433;0.12;2502.856;0.12;2395.283;0.12;2716.027;0.12;2810.147;0.12;2559.18
0.123;2311.359;0.123;2103.225;0.123;2856.726;0.123;2166.375;0.123;2111.425;0.123;2559.036;0.123;2450.682;0.123;2775.694;0.123;2871.708;0.123;2618.969
0.126;2364.337;0.126;2148.048;0.126;2918.866;0.126;2216.416;0.126;2156.29;0.126;2615.434;0.126;2507.394;0.126;2835.362;0.126;2933.358;0.126;2678.845
0.129;2418.395;0.129;2193.017;0.129;2981.168;0.129;2268.173;0.129;2201.594;0.129;2673.19;0.129;2564.142;0.129;2896.436;0.129;2996.171;0.129;2739.679
0.132;2473.091;0.132;2239.403;0.132;3044.419;0.132;2320.148;0.132;2247.664;0.132;2730.945;0.132;2622.023;0.132;2957.784;0.132;3059.372;0.132;2800.841
0.135;2528.531;0.135;2285.788;0.135;3108.111;0.135;2373.538;0.135;2294.583;0.135;2790.513;0.135;2680.231;0.135;3020.122;0.135;3123.452;0.135;2862.816
0.138;2584.922;0.138;2333.294;0.138;3172.521;0.138;2427.54;0.138;2341.885;0.138;2850.181;0.138;2739.296;0.138;3083.001;0.138;3188.227;0.138;2925.463
0.141;2641.777;0.141;2380.919;0.141;3237.685;0.141;2482.503;0.141;2390.158;0.141;2910.968;0.141;2798.98;0.141;3146.682;0.141;3253.503;0.141;2988.656
0.144;2700.029;0.144;2429.644;0.144;3303.201;0.144;2538.389;0.144;2438.562;0.144;2972.114;0.144;2859.208;0.144;3211.327;0.144;3319.644;0.144;3052.866
0.147;2758.38;0.147;2478.813;0.147;3369.569;0.147;2594.927;0.147;2488.271;0.147;3034.262;0.147;2920.305;0.147;3276.344;0.147;3386.047;0.147;3117.305
0.15;2818.308;0.15;2528.68;0.15;3436.075;0.15;2652.842;0.15;2537.981;0.15;3097.178;0.15;2981.688;0.15;3342.405;0.15;3453.677;0.15;3183.02
0.153;2878.237;0.153;2579.191;0.153;3503.851;0.153;2711.007;0.153;2588.893;0.153;3160.623;0.153;3044.299;0.153;3408.57;0.153;3521.307;0.153;3248.735
0.156;2939.605;0.156;2630.263;0.156;3571.627;0.156;2770.8;0.156;2639.941;0.156;3224.949;0.156;3106.911;0.156;3476.087;0.156;3590.18;0.156;3315.701
0.159;3001.19;0.159;2682.483;0.159;3640.793;0.159;2830.594;0.159;2692.106;0.159;3289.625;0.159;3170.854;0.159;3543.604;0.159;3659.071;0.159;3382.727
0.162;3063.947;0.162;2734.913;0.162;3710.104;0.162;2892.358;0.162;2744.735;0.162;3355.858;0.162;3234.805;0.162;3612.595;0.162;3729.009;0.162;3450.883
0.1650001;3127.26;0.1650001;2788.674;0.1650001;3780.37;0.1650001;2954.239;0.1650001;2798.06;0.1650001;3422.091;0.1650001;3300.185;0.1650001;3681.789;0.1650001;3799.218;0.1650001;3519.399
0.1680001;3191.504;0.1680001;2842.435;0.1680001;3851.022;0.1680001;3017.571;0.1680001;2852.048;0.1680001;3489.993;0.1680001;3365.928;0.1680001;3752.137;0.1680001;3870.356;0.1680001;3588.663
0.1710001;3256.729;0.1710001;2897.567;0.1710001;3922.341;0.1710001;3081.374;0.1710001;2906.489;0.1710001;3557.906;0.1710001;3432.463;0.1710001;3823.011;0.1710001;3942.106;0.1710001;3658.512
0.1740001;3322.414;0.1740001;2952.781;0.1740001;3994.28;0.1740001;3146.239;0.1740001;2961.902;0.1740001;3627.103;0.1740001;3499.525;0.1740001;3894.44;0.1740001;4014.401;0.1740001;3728.891
0.1770001;3389.187;0.1770001;3009.26;0.1770001;4066.669;0.1770001;3211.919;0.1770001;3017.487;0.1770001;3696.619;0.1770001;3567.052;0.1770001;3966.437;0.1770001;4087.484;0.1770001;3800.198
0.1800001;3456.145;0.1800001;3066.163;0.1800001;4139.995;0.1800001;3278.308;0.1800001;3074.285;0.1800001;3766.995;0.1800001;3635.265;0.1800001;4038.892;0.1800001;4160.926;0.1800001;3871.774
0.1830001;3524.649;0.1830001;3123.743;0.1830001;4213.559;0.1830001;3345.872;0.1830001;3131.083;0.1830001;3837.921;0.1830001;3703.838;0.1830001;4112.398;0.1830001;4235.673;0.1830001;3944.697
0.1860001;3593.153;0.1860001;3181.864;0.1860001;4288.708;0.1860001;3413.82;0.1860001;3189.374;0.1860001;3909.679;0.1860001;3773.786;0.1860001;4186.095;0.1860001;4310.46;0.1860001;4017.619
0.1890001;3663.049;0.1890001;3240.576;0.1890001;4363.856;0.1890001;3483.443;0.1890001;3247.775;0.1890001;3982.595;0.1890001;3843.747;0.1890001;4261.306;0.1890001;4386.93;0.1890001;4092.035
0.1920001;3733.069;0.1920001;3300.326;0.1920001;4440.028;0.1920001;3553.067;0.1920001;3307.163;0.1920001;4055.908;0.1920001;3914.819;0.1920001;4336.518;0.1920001;4463.4;0.1920001;4166.499
0.1950001;3804.317;0.1950001;3360.322;0.1950001;4516.267;0.1950001;3624.349;0.1950001;3366.902;0.1950001;4130.582;0.1950001;3985.89;0.1950001;4413.007;0.1950001;4541.142;0.1950001;4242.338
0.1980001;3876.024;0.1980001;3421.531;0.1980001;4593.718;0.1980001;3695.636;0.1980001;3427.43;0.1980001;4205.315;0.1980001;4057.714;0.1980001;4489.61;0.1980001;4619.144;0.1980001;4318.583
0.2010001;3948.566;0.2010001;3482.74;0.2010001;4671.584;0.2010001;3768.352;0.2010001;3488.618;0.2010001;4281.731;0.2010001;4129.708;0.2010001;4567.362;0.2010001;4698.153;0.2010001;4395.728
0.2040001;4021.826;0.2040001;3545.51;0.2040001;4750.253;0.2040001;3841.407;0.2040001;3550.35;0.2040001;4358.148;0.2040001;4202.408;0.2040001;4645.544;0.2040001;4777.734;0.2040001;4473.54
0.2070001;4095.565;0.2070001;3608.322;0.2070001;4829.573;0.2070001;3915.789;0.2070001;3613.086;0.2070001;4435.872;0.2070001;4275.541;0.2070001;4724.7;0.2070001;4857.971;0.2070001;4552.124
0.2100001;4170.2;0.2100001;3672.191;0.2100001;4909.383;0.2100001;3990.991;0.2100001;3676.02;0.2100001;4513.837;0.2100001;4349.258;0.2100001;4804.699;0.2100001;4939.025;0.2100001;4631.986
0.2130001;4245.144;0.2130001;3736.357;0.2130001;4990.066;0.2130001;4067.061;0.2130001;3740.007;0.2130001;4592.982;0.2130001;4423.765;0.2130001;4885.267;0.2130001;5020.528;0.2130001;4712.09
0.2160002;4321.749;0.2160002;3801.376;0.2160002;5071.006;0.2160002;4144.289;0.2160002;3803.995;0.2160002;4672.756;0.2160002;4498.628;0.2160002;4966.916;0.2160002;5103.35;0.2160002;4793.31
0.2190002;4398.354;0.2190002;3866.993;0.2190002;5153.225;0.2190002;4222.052;0.2190002;3869.478;0.2190002;4753.175;0.2190002;4574.685;0.2190002;5048.785;0.2190002;5186.277;0.2190002;4874.529
0.2220002;4476.867;0.2220002;3933.174;0.2220002;5235.443;0.2220002;4301.518;0.2220002;3935.017;0.2220002;4834.349;0.2220002;4650.794;0.2220002;5131.854;0.2220002;5270.828;0.2220002;4957.452
0.2250002;4555.446;0.2250002;4000.222;0.2250002;5318.961;0.2250002;4381.086;0.2250002;4001.5;0.2250002;4915.977;0.2250002;4728.406;0.2250002;5214.925;0.2250002;5355.378;0.2250002;5040.408
0.2280002;4635.073;0.2280002;4067.575;0.2280002;5402.512;0.2280002;4462.562;0.2280002;4068.262;0.2280002;4998.843;0.2280002;4806.018;0.2280002;5299.427;0.2280002;5441.121;0.2280002;5124.617
0.2310002;4715.001;0.2310002;4136.139;0.2310002;5487.266;0.2310002;4544.038;0.2310002;4135.93;0.2310002;5081.831;0.2310002;4884.678;0.2310002;5383.983;0.2310002;5527.047;0.2310002;5209.171
0.2340002;4796.26;0.2340002;4204.712;0.2340002;5572.351;0.2340002;4627.614;0.2340002;4204.254;0.2340002;5166.303;0.2340002;4963.538;0.2340002;5469.65;0.2340002;5614.075;0.2340002;5294.78
0.2370002;4878.455;0.2370002;4274.576;0.2370002;5658.241;0.2370002;4711.528;0.2370002;4273.176;0.2370002;5250.775;0.2370002;5043.459;0.2370002;5555.643;0.2370002;5701.641;0.2370002;5381.134
0.2400002;4961.4;0.2400002;4344.439;0.2400002;5744.688;0.2400002;4797.068;0.2400002;4343.041;0.2400002;5336.501;0.2400002;5123.967;0.2400002;5642.745;0.2400002;5789.907;0.2400002;5468.059
0.2430002;5045.483;0.2430002;4415.539;0.2430002;5831.63;0.2430002;4883.404;0.2430002;4413.174;0.2430002;5422.388;0.2430002;5205.179;0.2430002;5730.641;0.2430002;5878.943;0.2430002;5555.885
0.2460002;5129.909;0.2460002;4486.919;0.2460002;5919.32;0.2460002;4971.028;0.2460002;4484.412;0.2460002;5509.367;0.2460002;5287.254;0.2460002;5818.953;0.2460002;5968.367;0.2460002;5644.06
0.2490002;5215.652;0.2490002;4559.448;0.2490002;6007.239;0.2490002;5060.043;0.2490002;4555.659;0.2490002;5596.824;0.2490002;5369.733;0.2490002;5907.908;0.2490002;6058.782;0.2490002;5733.711
0.2520002;5301.425;0.2520002;4632.675;0.2520002;6096.037;0.2520002;5149.638;0.2520002;4628.48;0.2520002;5685.042;0.2520002;5453.393;0.2520002;5997.128;0.2520002;6149.282;0.2520002;5823.363
0.2550002;5388.929;0.2550002;4706.556;0.2550002;6184.854;0.2550002;5240.655;0.2550002;4701.302;0.2550002;5774.004;0.2550002;5537.147;0.2550002;6087.397;0.2550002;6240.688;0.2550002;5914.503
0.2580002;5476.434;0.2580002;4781.307;0.2580002;6274.907;0.2580002;5331.849;0.2580002;4775.421;0.2580002;5863.39;0.2580002;5622.387;0.2580002;6177.681;0.2580002;6332.095;0.2580002;6005.652
0.2610002;5565.373;0.2610002;4856.422;0.2610002;6364.961;0.2610002;5424.655;0.2610002;4849.833;0.2610002;5953.69;0.2610002;5707.626;0.2610002;6269.374;0.2610002;6423.753;0.2610002;6097.759
0.2640002;5654.611;0.2640002;4932.709;0.2640002;6455.547;0.2640002;5517.46;0.2640002;4925.156;0.2640002;6044.091;0.2640002;5794.202;0.2640002;6361.066;0.2640002;6515.442;0.2640002;6190.108
0.2670002;5744.796;0.2670002;5009.078;0.2670002;6546.249;0.2670002;5612.201;0.2670002;5001.022;0.2670002;6135.191;0.2670002;5880.986;0.2670002;6453.472;0.2670002;6607.104;0.2670002;6283.309
0.2700002;5835.52;0.2700002;5087.15;0.2700002;6637.205;0.2700002;5707.137;0.2700002;5077.666;0.2700002;6226.292;0.2700002;5968.799;0.2700002;6546.036;0.2700002;6698.755;0.2700002;6377.076
0.2730002;5926.861;0.2730002;5165.224;0.2730002;6728.31;0.2730002;5803.317;0.2730002;5155.319;0.2730002;6317.717;0.2730002;6057.117;0.2730002;6638.094;0.2730002;6790.784;0.2730002;6471.113
0.2760001;6018.964;0.2760001;5244.733;0.2760001;6819.523;0.2760001;5899.986;0.2760001;5233.308;0.2760001;6409.163;0.2760001;6146.1;0.2760001;6729.852;0.2760001;6883.194;0.2760001;6565.55
0.2790001;6111.324;0.2790001;5324.489;0.2790001;6910.875;0.2790001;5997.324;0.2790001;5312.328;0.2790001;6500.677;0.2790001;6235.809;0.2790001;6821.785;0.2790001;6975.959;0.2790001;6659.977
