Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480
0.003;531.1293;0.003;532.0163;0.003;538.7448;0.003;531.8942;0.003;531.3665;0.003;544.2621;0.003;535.8177;0.003;556.4333;0.003;549.5802;0.003;546.8514
0.006;581.6168;0.006;575.8686;0.006;594.7733;0.006;578.9583;0.006;574.5444;0.006;600.2523;0.006;589.3522;0.006;620.0603;0.006;610.2221;0.006;609.7609
0.009;632.1044;0.009;619.799;0.009;650.8018;0.009;626.0224;0.009;625.8555;0.009;661.5335;0.009;642.8867;0.009;692.2423;0.009;672.1149;0.009;672.6704
0.012;682.592;0.012;681.5634;0.012;708.636;0.012;681.6252;0.012;682.6694;0.012;733.5561;0.012;698.6533;0.012;781.0302;0.012;750.2957;0.012;739.4786
0.015;744.2813;0.015;743.3278;0.015;781.1302;0.015;744.898;0.015;743.0615;0.015;806.994;0.015;763.549;0.015;872.0786;0.015;828.4763;0.015;821.9528
0.018;809.4393;0.018;814.7937;0.018;853.6245;0.018;811.4534;0.018;808.7482;0.018;888.8072;0.018;828.4529;0.018;976.4182;0.018;916.0745;0.018;904.4657
0.021;881.4161;0.021;888.5201;0.021;935.8577;0.021;884.5175;0.021;876.2124;0.021;970.6204;0.021;900.9221;0.021;1080.758;0.021;1004.973;0.021;998.8632
0.024;958.4976;0.024;968.6954;0.024;1018.91;0.024;958.9584;0.024;950.2603;0.024;1060.064;0.024;973.3911;0.024;1197.236;0.024;1100.508;0.024;1093.261
0.027;1039.47;0.027;1052.903;0.027;1107.437;0.027;1041.707;0.027;1024.456;0.027;1149.888;0.027;1052.445;0.027;1314.363;0.027;1199.082;0.027;1196.091
0.03;1126.756;0.03;1141.183;0.03;1197.975;0.03;1124.456;0.03;1106.225;0.03;1247.755;0.03;1133.081;0.03;1440.348;0.03;1302.721;0.03;1300.947
0.033;1215.898;0.033;1235.119;0.033;1293.256;0.033;1216.167;0.033;1187.994;0.033;1348.185;0.033;1219.051;0.033;1569.217;0.033;1411.595;0.033;1412.219
0.036;1312.756;0.036;1331.05;0.036;1392.541;0.036;1308.375;0.036;1276.31;0.036;1454.415;0.036;1308.417;0.036;1704.144;0.036;1523.581;0.036;1527.551
0.039;1409.686;0.039;1433.826;0.039;1494.55;0.039;1407.726;0.039;1366.003;0.039;1565.12;0.039;1388.639;0.039;1843.873;0.039;1642.842;0.039;1647.022
0.042;1516.768;0.042;1536.863;0.042;1601.568;0.042;1509.436;0.042;1460.997;0.042;1679.714;0.042;1455.978;0.042;1986.877;0.042;1763.081;0.042;1772.231
0.045;1623.849;0.045;1647.724;0.045;1709.948;0.045;1596.756;0.045;1559.069;0.045;1800.926;0.045;1524.388;0.045;2135.702;0.045;1891.401;0.045;1899.403
0.048;1739.106;0.048;1758.585;0.048;1825.32;0.048;1672.636;0.048;1660.698;0.048;1924.103;0.048;1596.6;0.048;2285.74;0.048;2019.722;0.048;2033.326
0.051;1856.155;0.051;1876.462;0.051;1940.692;0.051;1750.348;0.051;1766.824;0.051;2056.379;0.051;1668.94;0.051;2442.049;0.051;2156.138;0.051;2167.481
0.05399999;1979.635;0.05399999;1995.701;0.05399999;2062.685;0.05399999;1831.259;0.05399999;1874.799;0.05399999;2188.656;0.05399999;1746.223;0.05399999;2598.358;0.05399999;2293.304;0.05399999;2308.429
0.05699999;2106.869;0.05699999;2119.4;0.05699999;2184.865;0.05699999;1913.109;0.05699999;1988.296;0.05699999;2331.071;0.05699999;1823.506;0.05699999;2762.541;0.05699999;2436.313;0.05699999;2449.377
0.05999999;2237.752;0.05999999;2245.593;0.05999999;2312.039;0.05999999;1999.486;0.05999999;2100.284;0.05999999;2473.636;0.05999999;1905.078;0.05999999;2927.002;0.05999999;2581.56;0.05999999;2596.862
0.06299999;2373.248;0.06299999;2374.557;0.06299999;2440.607;0.06299999;2085.864;0.06299999;2188.379;0.06299999;2622.721;0.06299999;1987.529;0.06299999;3099.668;0.06299999;2732.422;0.06299999;2745.592
0.06599999;2510.606;0.06599999;2506.961;0.06599999;2572.196;0.06599999;2177.534;0.06599999;2276.474;0.06599999;2773.5;0.06599999;2073.391;0.06599999;3274.77;0.06599999;2888.251;0.06599999;2900.859
0.06899999;2653.487;0.06899999;2632.37;0.06899999;2705.87;0.06899999;2269.318;0.06899999;2368.79;0.06899999;2929.698;0.06899999;2161.216;0.06899999;3453.893;0.06899999;3033.304;0.06899999;3059.695
0.07199999;2796.913;0.07199999;2737.095;0.07199999;2842.06;0.07199999;2365.412;0.07199999;2461.75;0.07199999;3089.483;0.07199999;2251.277;0.07199999;3635.964;0.07199999;3157.314;0.07199999;3204.15
0.07499999;2948.332;0.07499999;2842.172;0.07499999;2981.984;0.07499999;2462.671;0.07499999;2558.596;0.07499999;3253.996;0.07499999;2344.201;0.07499999;3816.331;0.07499999;3282.263;0.07499999;3331.287
0.07799999;3099.75;0.07799999;2952.855;0.07799999;3123.51;0.07799999;2563.683;0.07799999;2657.303;0.07799999;3425.271;0.07799999;2438.555;0.07799999;3993.963;0.07799999;3412.677;0.07799999;3459.9
0.08099999;3259.794;0.08099999;3063.538;0.08099999;3270.997;0.08099999;2667.255;0.08099999;2758.982;0.08099999;3598.441;0.08099999;2537.353;0.08099999;4165.903;0.08099999;3543.09;0.08099999;3592.714
0.08399998;3421.071;0.08399998;3178.944;0.08399998;3417.975;0.08399998;2773.671;0.08399998;2863.811;0.08399998;3778.283;0.08399998;2636.431;0.08399998;4313.729;0.08399998;3677.61;0.08399998;3725.809
0.08699998;3560.924;0.08699998;3295.091;0.08699998;3540.466;0.08699998;2884.326;0.08699998;2970.488;0.08699998;3958.075;0.08699998;2741.103;0.08699998;4461.554;0.08699998;3812.33;0.08699998;3862.896
0.08999998;3690.966;0.08999998;3415.226;0.08999998;3662.958;0.08999998;2996.354;0.08999998;3081.576;0.08999998;4136.353;0.08999998;2845.774;0.08999998;4615.841;0.08999998;3948.615;0.08999998;3999.981
