Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6
0.003;767.5688;0.003;780.7488;0.003;780.3115;0.003;777.2997;0.003;765.6362;0.003;774.7312;0.003;777.6205;0.003;777.4644;0.003;774.5263;0.003;772.8899
0.006;796.232;0.006;821.3328;0.006;821.317;0.006;814.2757;0.006;792.2309;0.006;810.339;0.006;813.5613;0.006;816.0699;0.006;809.0264;0.006;806.3393
0.009;824.8953;0.009;861.9167;0.009;862.3226;0.009;851.8302;0.009;818.8256;0.009;845.9468;0.009;845.0928;0.009;854.6754;0.009;843.5983;0.009;839.7888
0.012;853.5585;0.012;904.4953;0.012;904.778;0.012;891.4189;0.012;846.3153;0.012;881.5547;0.012;875.561;0.012;893.2808;0.012;881.3527;0.012;873.6788
0.015;884.7225;0.015;948.2941;0.015;950.186;0.015;931.084;0.015;874.8708;0.015;920.702;0.015;906.6351;0.015;933.9886;0.015;919.1069;0.015;909.1321
0.018;916.1409;0.018;993.4489;0.018;995.9492;0.018;973.3882;0.018;903.6807;0.018;959.8729;0.018;938.091;0.018;975.3099;0.018;959.4515;0.018;944.6494
0.021;948.316;0.021;1040.387;0.021;1043.876;0.021;1015.692;0.021;933.2104;0.021;1000.71;0.021;970.6252;0.021;1018.4;0.021;1000.31;0.021;982.4891
0.024;980.7873;0.024;1087.939;0.024;1091.802;0.024;1052.357;0.024;962.8648;0.024;1041.954;0.024;1004.633;0.024;1062.748;0.024;1042.195;0.024;1020.329
0.027;1014.013;0.027;1137.396;0.027;1142.413;0.027;1087.903;0.027;994.2734;0.027;1079.783;0.027;1038.903;0.027;1104.582;0.027;1084.644;0.027;1059.773
0.03;1047.911;0.03;1186.413;0.03;1193.162;0.03;1124.509;0.03;1025.682;0.03;1115.47;0.03;1074.047;0.03;1142.576;0.03;1127.927;0.03;1099.534
0.033;1082.391;0.033;1227.805;0.033;1246.685;0.033;1161.708;0.033;1058.684;0.033;1151.451;0.033;1109.273;0.033;1180.926;0.033;1172.209;0.033;1140.744
0.036;1118.007;0.036;1269.197;0.036;1301.076;0.036;1199.507;0.036;1091.919;0.036;1187.831;0.036;1146.431;0.036;1220.652;0.036;1216.953;0.036;1182.754
0.039;1153.891;0.039;1312.57;0.039;1356.137;0.039;1238.046;0.039;1125.963;0.039;1224.6;0.039;1183.588;0.039;1260.397;0.039;1262.973;0.039;1225.59
0.042;1191.299;0.042;1356.257;0.042;1411.698;0.042;1277.087;0.042;1160.387;0.042;1262.635;0.042;1222.948;0.042;1301.233;0.042;1309.2;0.042;1269.421
0.045;1228.708;0.045;1401.189;0.045;1468.618;0.045;1317.589;0.045;1195.09;0.045;1300.754;0.045;1262.692;0.045;1342.07;0.045;1357.916;0.045;1313.727
0.048;1267.774;0.048;1446.729;0.048;1527.707;0.048;1358.176;0.048;1230.087;0.048;1340.602;0.048;1302.784;0.048;1383.449;0.048;1406.632;0.048;1359.371
0.051;1306.91;0.051;1493.008;0.051;1585.031;0.051;1399.999;0.051;1265.55;0.051;1380.45;0.051;1343.053;0.051;1424.941;0.051;1457.417;0.051;1405.178
0.05399999;1347.39;0.05399999;1540.086;0.05399999;1635.167;0.05399999;1441.822;0.05399999;1302.137;0.05399999;1421.548;0.05399999;1383.89;0.05399999;1468.259;0.05399999;1508.461;0.05399999;1453.118
0.05699999;1388.27;0.05699999;1587.638;0.05699999;1685.322;0.05699999;1485.062;0.05699999;1338.91;0.05699999;1462.855;0.05699999;1425.361;0.05699999;1512.602;0.05699999;1561.199;0.05699999;1501.058
0.05999999;1430.101;0.05999999;1636.354;0.05999999;1737.722;0.05999999;1528.508;0.05999999;1377.352;0.05999999;1504.997;0.05999999;1467.506;0.05999999;1557.608;0.05999999;1614.663;0.05999999;1544.541
0.06299999;1472.619;0.06299999;1685.26;0.06299999;1790.122;0.06299999;1573.084;0.06299999;1415.795;0.06299999;1547.554;0.06299999;1511.368;0.06299999;1603.415;0.06299999;1664.514;0.06299999;1587.418
0.06599999;1515.957;0.06599999;1735.922;0.06599999;1844.225;0.06599999;1618.187;0.06599999;1455.298;0.06599999;1590.945;0.06599999;1555.34;0.06599999;1649.546;0.06599999;1710.869;0.06599999;1630.601
0.06899999;1560.572;0.06899999;1786.583;0.06899999;1898.702;0.06899999;1663.961;0.06899999;1494.909;0.06899999;1635.247;0.06899999;1600.408;0.06899999;1696.583;0.06899999;1757.603;0.06899999;1673.922
0.07199999;1605.416;0.07199999;1839.915;0.07199999;1954.299;0.07199999;1710.425;0.07199999;1535.383;0.07199999;1680.055;0.07199999;1645.475;0.07199999;1743.753;0.07199999;1805.149;0.07199999;1717.721
0.07499999;1651.171;0.07499999;1893.522;0.07499999;2010.555;0.07499999;1757.462;0.07499999;1576.2;0.07499999;1726.121;0.07499999;1693.061;0.07499999;1792.553;0.07499999;1853.001;0.07499999;1762.003
0.07799999;1696.94;0.07799999;1947.378;0.07799999;2067.562;0.07799999;1805.821;0.07799999;1618.491;0.07799999;1772.375;0.07799999;1740.924;0.07799999;1841.353;0.07799999;1902.943;0.07799999;1806.807
0.08099999;1744.226;0.08099999;2001.333;0.08099999;2125.524;0.08099999;1854.359;0.08099999;1662.116;0.08099999;1820.391;0.08099999;1789.655;0.08099999;1891.675;0.08099999;1952.886;0.08099999;1852.801
0.08399998;1791.511;0.08399998;2056.915;0.08399998;2184.135;0.08399998;1904.294;0.08399998;1706.018;0.08399998;1868.406;0.08399998;1838.738;0.08399998;1942.19;0.08399998;2004.664;0.08399998;1899.038
0.08699998;1840.265;0.08699998;2113.97;0.08699998;2244.679;0.08699998;1954.23;0.08699998;1750.468;0.08699998;1917.096;0.08699998;1888.806;0.08699998;1993.648;0.08699998;2056.569;0.08699998;1947.186
0.08999998;1889.343;0.08999998;2171.349;0.08999998;2305.358;0.08999998;2006.101;0.08999998;1795.098;0.08999998;1965.856;0.08999998;1939.776;0.08999998;2045.513;0.08999998;2109.093;0.08999998;1995.334
0.09299998;1939.488;0.09299998;2229.374;0.09299998;2368.099;0.09299998;2058.13;0.09299998;1840.776;0.09299998;2016.415;0.09299998;1991.537;0.09299998;2098.224;0.09299998;2161.83;0.09299998;2044.214
0.09599998;1990.262;0.09599998;2287.646;0.09599998;2430.839;0.09599998;2110.875;0.09599998;1886.453;0.09599998;2067.693;0.09599998;2044.882;0.09599998;2151.748;0.09599998;2215.425;0.09599998;2093.157
0.09899998;2042.164;0.09899998;2347.415;0.09899998;2495.175;0.09899998;2163.875;0.09899998;1932.849;0.09899998;2119.733;0.09899998;2098.486;0.09899998;2205.891;0.09899998;2269.716;0.09899998;2142.689
0.102;2095.509;0.102;2407.184;0.102;2559.747;0.102;2218.059;0.102;1979.275;0.102;2172.468;0.102;2153.628;0.102;2261.345;0.102;2324.74;0.102;2192.44
0.105;2149.204;0.105;2469.604;0.105;2626.195;0.105;2273.217;0.105;2027.388;0.105;2225.864;0.105;2208.77;0.105;2316.944;0.105;2381.066;0.105;2243.296
0.108;2203.961;0.108;2532.16;0.108;2693.523;0.108;2328.888;0.108;2075.997;0.108;2280.599;0.108;2264.561;0.108;2373.494;0.108;2437.684;0.108;2295.105
0.111;2258.85;0.111;2596.02;0.111;2761.485;0.111;2385.47;0.111;2125.683;0.111;2335.642;0.111;2320.381;0.111;2430.044;0.111;2495.752;0.111;2347.408
0.114;2315.861;0.114;2660.295;0.114;2830.104;0.114;2442.38;0.114;2176.129;0.114;2392.605;0.114;2377.541;0.114;2488.258;0.114;2553.82;0.114;2400.645
0.117;2372.872;0.117;2725.571;0.117;2899.344;0.117;2500.872;0.117;2227.3;0.117;2449.567;0.117;2435.109;0.117;2546.572;0.117;2613.572;0.117;2454.149
0.12;2430.816;0.12;2791.611;0.12;2970.028;0.12;2559.363;0.12;2279.56;0.12;2508.909;0.12;2493.964;0.12;2605.919;0.12;2673.366;0.12;2509.121
0.123;2488.902;0.123;2858.314;0.123;3040.905;0.123;2619.539;0.123;2331.855;0.123;2568.386;0.123;2553.755;0.123;2665.603;0.123;2734.538;0.123;2564.094
0.126;2548.905;0.126;2926.122;0.126;3113.337;0.126;2679.744;0.126;2384.283;0.126;2628.741;0.126;2614.392;0.126;2726.763;0.126;2796.092;0.126;2620.361
0.129;2609.819;0.129;2994.233;0.129;3185.768;0.129;2740.88;0.129;2436.766;0.129;2689.384;0.129;2676.348;0.129;2789.061;0.129;2858.736;0.129;2676.678
0.132;2671.262;0.132;3063.691;0.132;3260.66;0.132;2802.256;0.132;2491.233;0.132;2750.822;0.132;2738.468;0.132;2851.837;0.132;2922.135;0.132;2733.93
0.135;2733.263;0.135;3133.15;0.135;3335.764;0.135;2864.786;0.135;2545.701;0.135;2812.879;0.135;2801.236;0.135;2915.412;0.135;2986.292;0.135;2791.458
0.138;2795.85;0.138;3203.982;0.138;3412.627;0.138;2928.064;0.138;2601.582;0.138;2875.665;0.138;2864.042;0.138;2979.23;0.138;3051.598;0.138;2849.934
0.141;2859.833;0.141;3274.825;0.141;3490.137;0.141;2991.973;0.141;2657.733;0.141;2939.693;0.141;2929.37;0.141;3044.119;0.141;3117.064;0.141;2909.093
0.144;2923.999;0.144;3347.447;0.144;3567.976;0.144;3056.761;0.144;2714.657;0.144;3004.063;0.144;2994.699;0.144;3109.008;0.144;3183.147;0.144;2968.919
0.147;2989.725;0.147;3420.51;0.147;3646.093;0.147;3122.089;0.147;2771.991;0.147;3070.017;0.147;3061.849;0.147;3175.124;0.147;3249.261;0.147;3029.789
0.15;3055.452;0.15;3494.545;0.15;3725.155;0.15;3189.229;0.15;2829.738;0.15;3135.971;0.15;3129.382;0.15;3241.247;0.15;3317.469;0.15;3090.838
0.153;3122.852;0.153;3569.2;0.153;3805.953;0.153;3256.417;0.153;2887.955;0.153;3203.715;0.153;3197.217;0.153;3308.793;0.153;3385.676;0.153;3152.604
0.156;3190.411;0.156;3644.678;0.156;3887.165;0.156;3324.76;0.156;2946.757;0.156;3271.486;0.156;3265.223;0.156;3376.683;0.156;3455.434;0.156;3214.392
0.159;3259.325;0.159;3721.293;0.159;3970.502;0.159;3393.103;0.159;3007.05;0.159;3340.885;0.159;3334.939;0.159;3445.644;0.159;3525.526;0.159;3278.449
0.162;3328.762;0.162;3798.298;0.162;4053.84;0.162;3462.67;0.162;3067.51;0.162;3410.711;0.162;3406.762;0.162;3515.271;0.162;3596.5;0.162;3342.506
0.1650001;3399.153;0.1650001;3876.618;0.1650001;4139.046;0.1650001;3532.449;0.1650001;3129.525;0.1650001;3481.237;0.1650001;3478.654;0.1650001;3585.626;0.1650001;3667.991;0.1650001;3407.388
0.1680001;3470.389;0.1680001;3955.003;0.1680001;4224.305;0.1680001;3603.052;0.1680001;3191.54;0.1680001;3552.23;0.1680001;3550.743;0.1680001;3656.964;0.1680001;3740.045;0.1680001;3472.45
0.1710001;3542.005;0.1710001;4035.045;0.1710001;4311.178;0.1710001;3674.067;0.1710001;3254.154;0.1710001;3624.203;0.1710001;3622.929;0.1710001;3728.477;0.1710001;3812.82;0.1710001;3538.18
0.1740001;3614.366;0.1740001;4115.088;0.1740001;4398.5;0.1740001;3746.208;0.1740001;3316.826;0.1740001;3697.594;0.1740001;3696.374;0.1740001;3800.563;0.1740001;3886.172;0.1740001;3604.302
0.1770001;3687.071;0.1770001;4196.635;0.1770001;4487.022;0.1770001;3819.571;0.1770001;3380.875;0.1770001;3771.506;0.1770001;3769.819;0.1770001;3872.738;0.1770001;3961.312;0.1770001;3671.154
