Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.084000;3708.589000;0.084000;2895.133000;0.084000;3115.978000;0.084000;3912.150000;0.084000;3253.475000;0.084000;3527.254000;0.084000;4365.421000;0.084000;2471.415000;0.084000;3856.747000;0.084000;3391.387000
0.087000;3860.801000;0.087000;3009.431000;0.087000;3234.035000;0.087000;4049.015000;0.087000;3372.041000;0.087000;3656.881000;0.087000;4513.446000;0.087000;2568.851000;0.087000;3997.167000;0.087000;3514.717000
0.090000;3999.332000;0.090000;3124.707000;0.090000;3353.639000;0.090000;4186.734000;0.090000;3491.882000;0.090000;3786.993000;0.090000;4664.738000;0.090000;2667.653000;0.090000;4137.645000;0.090000;3640.436000
0.093000;4138.347000;0.093000;3244.162000;0.093000;3477.682000;0.093000;4324.454000;0.093000;3615.944000;0.093000;3920.619000;0.093000;4817.751000;0.093000;2769.877000;0.093000;4282.669000;0.093000;3768.588000
0.096000;4278.153000;0.096000;3365.773000;0.096000;3602.102000;0.096000;4466.942000;0.096000;3740.204000;0.096000;4055.618000;0.096000;4975.322000;0.096000;2874.613000;0.096000;4428.882000;0.096000;3898.309000
0.099000;4418.724000;0.099000;3490.371000;0.099000;3731.676000;0.099000;4609.789000;0.099000;3869.250000;0.099000;4192.485000;0.099000;5133.370000;0.099000;2981.695000;0.099000;4577.882000;0.099000;4031.573000
0.102000;4562.665000;0.102000;3618.372000;0.102000;3861.249000;0.102000;4756.832000;0.102000;3998.295000;0.102000;4331.024000;0.102000;5296.875000;0.102000;3092.534000;0.102000;4728.728000;0.102000;4164.982000
0.105000;4706.606000;0.105000;3747.868000;0.105000;3994.316000;0.105000;4905.343000;0.105000;4130.314000;0.105000;4469.839000;0.105000;5460.380000;0.105000;3204.580000;0.105000;4882.601000;0.105000;4299.468000
0.108000;4856.476000;0.108000;3881.310000;0.108000;4127.867000;0.108000;5056.978000;0.108000;4262.874000;0.108000;4609.198000;0.108000;5628.997000;0.108000;3321.676000;0.108000;5040.827000;0.108000;4433.955000
0.111000;5006.402000;0.111000;4015.022000;0.111000;4261.824000;0.111000;5211.161000;0.111000;4396.130000;0.111000;4749.244000;0.111000;5798.266000;0.111000;3438.784000;0.111000;5200.304000;0.111000;4572.294000
0.114000;5161.113000;0.114000;4151.773000;0.114000;4395.963000;0.114000;5367.282000;0.114000;4529.755000;0.114000;4893.356000;0.114000;5971.159000;0.114000;3561.890000;0.114000;5364.254000;0.114000;4710.920000
0.117000;5317.050000;0.117000;4288.523000;0.117000;4532.674000;0.117000;5526.839000;0.117000;4665.716000;0.117000;5037.468000;0.117000;6145.657000;0.117000;3684.996000;0.117000;5528.412000;0.117000;4851.651000
0.120000;5476.414000;0.120000;4427.695000;0.120000;4671.977000;0.120000;5687.244000;0.120000;4804.422000;0.120000;5186.286000;0.120000;6322.614000;0.120000;3812.712000;0.120000;5699.936000;0.120000;4993.113000
0.123000;5638.033000;0.123000;4567.167000;0.123000;4812.983000;0.123000;5851.776000;0.123000;4944.537000;0.123000;5335.333000;0.123000;6502.042000;0.123000;3941.501000;0.123000;5871.460000;0.123000;5137.862000
0.126000;5801.856000;0.126000;4710.297000;0.126000;4957.820000;0.126000;6016.308000;0.126000;5088.516000;0.126000;5487.901000;0.126000;6682.690000;0.126000;4072.757000;0.126000;6045.221000;0.126000;5285.260000
0.129000;5968.842000;0.129000;4855.018000;0.129000;5103.341000;0.129000;6185.618000;0.129000;5232.875000;0.129000;5641.572000;0.129000;6866.126000;0.129000;4205.523000;0.129000;6219.420000;0.129000;5434.403000
0.132000;6136.945000;0.132000;5002.759000;0.132000;5253.944000;0.132000;6355.025000;0.132000;5381.990000;0.132000;5797.493000;0.132000;7049.995000;0.132000;4338.551000;0.132000;6398.717000;0.132000;5586.588000
0.135000;6309.048000;0.135000;5153.457000;0.135000;5404.547000;0.135000;6527.748000;0.135000;5531.105000;0.135000;5955.110000;0.135000;7237.342000;0.135000;4471.927000;0.135000;6580.820000;0.135000;5739.303000
0.138000;6481.285000;0.138000;5305.952000;0.138000;5560.137000;0.138000;6701.347000;0.138000;5684.538000;0.138000;6114.143000;0.138000;7424.690000;0.138000;4606.485000;0.138000;6764.820000;0.138000;5894.515000
0.141000;6658.231000;0.141000;5462.395000;0.141000;5716.107000;0.141000;6877.166000;0.141000;5838.550000;0.141000;6275.503000;0.141000;7615.009000;0.141000;4744.775000;0.141000;6951.101000;0.141000;6049.727000
0.144000;6835.177000;0.144000;5619.524000;0.144000;5875.801000;0.144000;7054.455000;0.144000;5995.631000;0.144000;6437.449000;0.144000;7805.598000;0.144000;4883.338000;0.144000;7138.817000;0.144000;6209.777000
0.147000;7015.855000;0.147000;5781.685000;0.147000;6036.802000;0.147000;7233.143000;0.147000;6154.095000;0.147000;6601.941000;0.147000;7998.060000;0.147000;5027.016000;0.147000;7330.563000;0.147000;6369.900000
0.150000;7197.260000;0.150000;5943.845000;0.150000;6200.522000;0.150000;7413.821000;0.150000;6314.563000;0.150000;6766.434000;0.150000;8191.239000;0.150000;5170.693000;0.150000;7522.603000;0.150000;6531.190000
0.153000;7381.481000;0.153000;6110.975000;0.153000;6366.459000;0.153000;7595.157000;0.153000;6477.063000;0.153000;6933.650000;0.153000;8385.489000;0.153000;5318.919000;0.153000;7718.438000;0.153000;6692.781000
0.156000;7567.243000;0.156000;6278.490000;0.156000;6533.957000;0.156000;7778.777000;0.156000;6640.740000;0.156000;7100.878000;0.156000;8580.696000;0.156000;5467.887000;0.156000;7914.274000;0.156000;6857.035000
0.159000;7754.900000;0.159000;6449.730000;0.159000;6704.207000;0.159000;7962.489000;0.159000;6807.121000;0.159000;7269.841000;0.159000;8776.517000;0.159000;5620.431000;0.159000;8112.890000;0.159000;7023.031000
0.162000;7944.831000;0.162000;6622.311000;0.162000;6875.129000;0.162000;8148.751000;0.162000;6973.883000;0.162000;7439.225000;0.162000;8973.560000;0.162000;5774.739000;0.162000;8311.880000;0.162000;7190.290000
0.165000;8135.788000;0.165000;6797.498000;0.165000;7049.280000;0.165000;8335.014000;0.165000;7143.748000;0.165000;7609.608000;0.165000;9170.801000;0.165000;5931.335000;0.165000;8511.620000;0.165000;7359.340000
0.168000;8329.614000;0.168000;6974.872000;0.168000;7223.431000;0.168000;8523.284000;0.168000;7313.614000;0.168000;7780.622000;0.168000;9369.248000;0.168000;6090.413000;0.168000;8711.695000;0.168000;7529.219000
0.171000;8523.711000;0.171000;7153.833000;0.171000;7401.279000;0.171000;8711.926000;0.171000;7486.331000;0.171000;7952.197000;0.171000;9567.695000;0.171000;6250.800000;0.171000;8914.137000;0.171000;7701.999000
0.174000;8721.318000;0.174000;7335.711000;0.174000;7579.192000;0.174000;8901.814000;0.174000;7659.315000;0.174000;8124.543000;0.174000;9767.391000;0.174000;6414.386000;0.174000;9118.949000;0.174000;7874.800000
0.177000;8918.924000;0.177000;7518.299000;0.177000;7759.547000;0.177000;9092.364000;0.177000;7834.140000;0.177000;8297.080000;0.177000;9967.152000;0.177000;6578.390000;0.177000;9324.774000;0.177000;8048.318000
0.180000;9119.539000;0.180000;7704.599000;0.180000;7940.541000;0.180000;9283.764000;0.180000;8009.681000;0.180000;8470.254000;0.180000;10167.750000;0.180000;6746.092000;0.180000;9532.870000;0.180000;8221.835000
0.183000;9320.563000;0.183000;7890.899000;0.183000;8123.000000;0.183000;9476.153000;0.183000;8186.415000;0.183000;8643.448000;0.183000;10368.620000;0.183000;6913.794000;0.183000;9741.146000;0.183000;8399.092000
0.186000;9524.163000;0.186000;8081.304000;0.186000;8306.433000;0.186000;9668.990000;0.186000;8364.225000;0.186000;8817.134000;0.186000;10569.620000;0.186000;7085.376000;0.186000;9950.773000;0.186000;8577.064000
0.189000;9728.933000;0.189000;8271.840000;0.189000;8490.994000;0.189000;9863.024000;0.189000;8542.773000;0.189000;8990.818000;0.189000;10770.700000;0.189000;7257.333000;0.189000;10160.400000;0.189000;8756.009000
0.192000;9935.354000;0.192000;8465.417000;0.192000;8677.188000;0.192000;10057.170000;0.192000;8722.813000;0.192000;9164.715000;0.192000;10971.920000;0.192000;7431.820000;0.192000;10371.920000;0.192000;8935.483000
0.195000;10143.440000;0.195000;8659.858000;0.195000;8863.878000;0.195000;10252.540000;0.195000;8903.132000;0.195000;9338.648000;0.195000;11173.360000;0.195000;7607.273000;0.195000;10583.580000;0.195000;9116.166000
0.198000;10352.470000;0.198000;8856.125000;0.198000;9052.352000;0.198000;10447.900000;0.198000;9085.227000;0.198000;9512.398000;0.198000;11374.750000;0.198000;7784.484000;0.198000;10796.890000;0.198000;9298.287000
0.201000;10563.620000;0.201000;9053.672000;0.201000;9240.883000;0.201000;10644.000000;0.201000;9267.322000;0.201000;9686.053000;0.201000;11575.910000;0.201000;7963.225000;0.201000;11010.810000;0.201000;9480.343000
0.204000;10775.090000;0.204000;9252.529000;0.204000;9431.598000;0.204000;10840.180000;0.204000;9450.986000;0.204000;9859.508000;0.204000;11777.070000;0.204000;8142.993000;0.204000;11225.770000;0.204000;9662.219000
0.207000;10989.080000;0.207000;9453.380000;0.207000;9622.313000;0.207000;11036.930000;0.207000;9634.749000;0.207000;10032.730000;0.207000;11977.830000;0.207000;8324.701000;0.207000;11441.630000;0.207000;9844.239000
0.210000;11203.060000;0.210000;9654.848000;0.210000;9814.457000;0.210000;11233.930000;0.210000;9819.555000;0.210000;10205.710000;0.210000;12178.580000;0.210000;8506.819000;0.210000;11658.030000;0.210000;10028.070000
0.213000;11419.170000;0.213000;9858.686000;0.213000;10006.890000;0.213000;11431.280000;0.213000;10004.710000;0.213000;10378.030000;0.213000;12378.520000;0.213000;8691.132000;0.213000;11875.430000;0.213000;10211.890000
0.216000;11635.450000;0.216000;10062.570000;0.216000;10200.380000;0.216000;11628.950000;0.216000;10190.460000;0.216000;10550.250000;0.216000;12578.260000;0.216000;8875.444000;0.216000;12092.930000;0.216000;10397.530000
0.219000;11853.260000;0.219000;10269.260000;0.219000;10394.460000;0.219000;11826.640000;0.219000;10376.680000;0.219000;10721.410000;0.219000;12777.270000;0.219000;9062.022000;0.219000;12310.940000;0.219000;10583.410000
0.222000;12071.640000;0.222000;10475.950000;0.222000;10589.230000;0.222000;12024.380000;0.222000;10563.150000;0.222000;10892.570000;0.222000;12975.810000;0.222000;9248.673000;0.222000;12528.960000;0.222000;10769.000000
0.225000;12291.030000;0.225000;10684.600000;0.225000;10784.870000;0.225000;12222.090000;0.225000;10750.080000;0.225000;11062.330000;0.225000;13173.780000;0.225000;9436.979000;0.225000;12749.000000;0.225000;10954.460000
0.228000;12511.310000;0.228000;10893.670000;0.228000;10980.850000;0.228000;12419.720000;0.228000;10937.100000;0.228000;11231.910000;0.228000;13370.980000;0.228000;9625.750000;0.228000;12969.120000;0.228000;11140.550000
0.231000;12732.070000;0.231000;11104.080000;0.231000;11177.810000;0.231000;12617.350000;0.231000;11124.580000;0.231000;11400.160000;0.231000;13567.710000;0.231000;9815.729000;0.231000;13190.950000;0.231000;11327.280000
0.234000;12953.780000;0.234000;11315.260000;0.234000;11374.820000;0.234000;12814.920000;0.234000;11312.070000;0.234000;11567.850000;0.234000;13762.830000;0.234000;10006.540000;0.234000;13413.280000;0.234000;11513.360000
0.237000;13175.660000;0.237000;11527.290000;0.237000;11572.400000;0.237000;13012.500000;0.237000;11499.820000;0.237000;11734.540000;0.237000;13957.900000;0.237000;10197.980000;0.237000;13636.090000;0.237000;11698.010000
0.240000;13398.560000;0.240000;11740.400000;0.240000;11769.970000;0.240000;13209.530000;0.240000;11687.590000;0.240000;11900.260000;0.240000;14151.040000;0.240000;10390.330000;0.240000;13859.240000;0.240000;11882.840000
0.243000;13621.450000;0.243000;11953.860000;0.243000;11968.190000;0.243000;13406.380000;0.243000;11875.330000;0.243000;12065.200000;0.243000;14344.190000;0.243000;10582.930000;0.243000;14082.700000;0.243000;12069.000000
0.246000;13845.510000;0.246000;12168.360000;0.246000;12166.490000;0.246000;13602.760000;0.246000;12063.070000;0.246000;12228.440000;0.246000;14534.890000;0.246000;10776.380000;0.246000;14306.670000;0.246000;12255.160000
0.249000;14069.620000;0.249000;12382.950000;0.249000;12365.260000;0.249000;13798.750000;0.249000;12250.580000;0.249000;12391.380000;0.249000;14725.120000;0.249000;10969.850000;0.249000;14530.970000;0.249000;12439.320000
0.252000;14294.300000;0.252000;12598.730000;0.252000;12564.250000;0.252000;13994.260000;0.252000;12437.920000;0.252000;12552.110000;0.252000;14913.180000;0.252000;11164.130000;0.252000;14756.650000;0.252000;12623.310000
0.255000;14519.160000;0.255000;12814.510000;0.255000;12763.330000;0.255000;14188.940000;0.255000;12625.060000;0.255000;12712.850000;0.255000;15100.030000;0.255000;11358.400000;0.255000;14982.340000;0.255000;12806.900000
0.258000;14744.470000;0.258000;13030.820000;0.258000;12962.510000;0.258000;14383.250000;0.258000;12811.860000;0.258000;12870.900000;0.258000;15285.080000;0.258000;11553.330000;0.258000;15208.530000;0.258000;12990.350000
0.261000;14970.130000;0.261000;13247.200000;0.261000;13161.760000;0.261000;14575.780000;0.261000;12998.520000;0.261000;13028.740000;0.261000;15467.940000;0.261000;11748.380000;0.261000;15434.730000;0.261000;13173.280000
0.264000;15196.050000;0.264000;13463.850000;0.264000;13361.200000;0.264000;14768.310000;0.264000;13184.600000;0.264000;13184.250000;0.264000;15649.760000;0.264000;11943.690000;0.264000;15661.020000;0.264000;13355.770000
0.267000;15422.400000;0.267000;13680.620000;0.267000;13560.590000;0.267000;14958.520000;0.267000;13370.690000;0.267000;13338.920000;0.267000;15828.620000;0.267000;12139.130000;0.267000;15887.340000;0.267000;13537.690000
0.270000;15648.650000;0.270000;13897.330000;0.270000;13759.670000;0.270000;15148.670000;0.270000;13555.690000;0.270000;13491.430000;0.270000;16007.210000;0.270000;12334.640000;0.270000;16114.150000;0.270000;13718.540000
0.273000;15874.480000;0.273000;14113.970000;0.273000;13958.760000;0.273000;15336.910000;0.273000;13740.690000;0.273000;13642.130000;0.273000;16181.990000;0.273000;12530.230000;0.273000;16341.260000;0.273000;13899.100000
0.276000;16100.300000;0.276000;14330.460000;0.276000;14157.330000;0.276000;15524.610000;0.276000;13924.150000;0.276000;13791.420000;0.276000;16356.770000;0.276000;12725.780000;0.276000;16567.240000;0.276000;14078.090000
0.279000;16325.240000;0.279000;14546.560000;0.279000;14355.860000;0.279000;15710.630000;0.279000;14107.240000;0.279000;13938.120000;0.279000;16528.030000;0.279000;12921.180000;0.279000;16791.740000;0.279000;14257.080000
0.282000;16550.160000;0.282000;14762.550000;0.282000;14553.460000;0.282000;15895.500000;0.282000;14288.740000;0.282000;14084.100000;0.282000;16698.780000;0.282000;13116.520000;0.282000;17016.530000;0.282000;14433.270000
0.285000;16774.310000;0.285000;14977.560000;0.285000;14750.690000;0.285000;16079.030000;0.285000;14469.210000;0.285000;14226.300000;0.285000;16867.290000;0.285000;13311.170000;0.285000;17242.250000;0.285000;14609.350000
0.288000;16998.260000;0.288000;15192.570000;0.288000;14947.140000;0.288000;16260.550000;0.288000;14648.500000;0.288000;14368.500000;0.288000;17034.760000;0.288000;13505.820000;0.288000;17467.910000;0.288000;14783.020000
0.291000;17221.350000;0.291000;15405.930000;0.291000;15142.890000;0.291000;16441.520000;0.291000;14826.090000;0.291000;14506.640000;0.291000;17202.180000;0.291000;13699.890000;0.291000;17692.620000;0.291000;14955.950000
0.294000;17443.860000;0.294000;15619.130000;0.294000;15337.990000;0.294000;16620.360000;0.294000;15003.030000;0.294000;14644.630000;0.294000;17369.550000;0.294000;13893.860000;0.294000;17917.330000;0.294000;15127.350000
0.297000;17665.950000;0.297000;15830.680000;0.297000;15531.780000;0.297000;16799.170000;0.297000;15177.620000;0.297000;14779.250000;0.297000;17536.180000;0.297000;14087.130000;0.297000;18142.970000;0.297000;15297.610000
0.300000;17887.440000;0.300000;16041.590000;0.300000;15725.260000;0.300000;16976.310000;0.300000;15352.140000;0.300000;14912.880000;0.300000;17701.060000;0.300000;14280.070000;0.300000;18368.760000;0.300000;15466.470000
0.303000;18108.840000;0.303000;16251.140000;0.303000;15916.880000;0.303000;17153.440000;0.303000;15523.550000;0.303000;15043.850000;0.303000;17865.440000;0.303000;14472.090000;0.303000;18595.690000;0.303000;15633.050000
0.306000;18329.970000;0.306000;16459.490000;0.306000;16108.490000;0.306000;17331.550000;0.306000;15694.970000;0.306000;15172.910000;0.306000;18025.440000;0.306000;14663.170000;0.306000;18823.180000;0.306000;15799.080000
0.309000;18551.140000;0.309000;16666.930000;0.309000;16297.690000;0.309000;17509.880000;0.309000;15863.530000;0.309000;15300.480000;0.309000;18185.440000;0.309000;14853.530000;0.309000;19050.580000;0.309000;15962.650000
0.312000;18775.250000;0.312000;16872.630000;0.312000;16486.740000;0.312000;17686.140000;0.312000;16031.500000;0.312000;15425.730000;0.312000;18340.520000;0.312000;15042.260000;0.312000;19277.890000;0.312000;16126.220000
0.315000;18999.350000;0.315000;17077.870000;0.315000;16674.360000;0.315000;17861.190000;0.315000;16197.490000;0.315000;15550.480000;0.315000;18495.130000;0.315000;15230.710000;0.315000;19505.470000;0.315000;16286.640000
0.318000;19223.360000;0.318000;17280.460000;0.318000;16861.500000;0.318000;18034.350000;0.318000;16362.320000;0.318000;15673.200000;0.318000;18646.100000;0.318000;15416.860000;0.318000;19733.710000;0.318000;16447.030000
0.321000;19447.340000;0.321000;17483.060000;0.321000;17048.080000;0.321000;18205.090000;0.321000;16526.420000;0.321000;15795.920000;0.321000;18795.640000;0.321000;15603.020000;0.321000;19961.860000;0.321000;16607.110000
0.324000;19670.020000;0.324000;17683.270000;0.324000;17234.210000;0.324000;18374.670000;0.324000;16689.560000;0.324000;15918.550000;0.324000;18942.550000;0.324000;15786.530000;0.324000;20189.150000;0.324000;16767.120000
0.327000;19891.930000;0.327000;17883.370000;0.327000;17421.100000;0.327000;18540.710000;0.327000;16852.800000;0.327000;16041.180000;0.327000;19087.060000;0.327000;15969.790000;0.327000;20416.440000;0.327000;16925.780000
0.330000;20112.720000;0.330000;18082.930000;0.330000;17609.360000;0.330000;18706.510000;0.330000;17016.390000;0.330000;16160.300000;0.330000;19229.850000;0.330000;16150.770000;0.330000;20641.780000;0.330000;17083.560000
0.333000;20332.040000;0.333000;18282.310000;0.333000;17797.250000;0.333000;18867.920000;0.333000;17179.820000;0.333000;16278.610000;0.333000;19369.170000;0.333000;16330.870000;0.333000;20866.910000;0.333000;17239.450000
0.336000;20550.720000;0.336000;18481.460000;0.336000;17983.210000;0.336000;19029.340000;0.336000;17339.550000;0.336000;16393.930000;0.336000;19507.770000;0.336000;16509.540000;0.336000;21089.720000;0.336000;17392.610000
0.339000;20767.360000;0.339000;18680.430000;0.339000;18169.160000;0.339000;19186.680000;0.339000;17499.280000;0.339000;16507.450000;0.339000;19641.930000;0.339000;16686.930000;0.339000;21311.610000;0.339000;17545.070000
0.342000;20983.870000;0.342000;18878.170000;0.342000;18351.720000;0.342000;19343.360000;0.342000;17655.180000;0.342000;16618.920000;0.342000;19776.090000;0.342000;16863.810000;0.342000;21533.970000;0.342000;17694.960000
0.345000;21197.810000;0.345000;19073.880000;0.345000;18534.160000;0.345000;19496.780000;0.345000;17810.370000;0.345000;16727.690000;0.345000;19905.550000;0.345000;17039.670000;0.345000;21756.780000;0.345000;17844.740000
0.348000;21411.740000;0.348000;19268.740000;0.348000;18713.810000;0.348000;19648.590000;0.348000;17962.550000;0.348000;16835.360000;0.348000;20034.750000;0.348000;17215.770000;0.348000;21978.220000;0.348000;17989.310000
0.351000;21623.160000;0.351000;19459.830000;0.351000;18892.630000;0.351000;19798.060000;0.351000;18113.110000;0.351000;16939.540000;0.351000;20159.990000;0.351000;17393.450000;0.351000;22196.880000;0.351000;18133.870000
0.354000;21834.130000;0.354000;19650.930000;0.354000;19069.210000;0.354000;19944.950000;0.354000;18261.500000;0.354000;17043.510000;0.354000;20283.930000;0.354000;17571.120000;0.354000;22415.230000;0.354000;18275.650000
0.357000;22043.040000;0.357000;19837.430000;0.357000;19244.160000;0.357000;20090.450000;0.357000;18407.270000;0.357000;17143.290000;0.357000;20404.990000;0.357000;17745.890000;0.357000;22631.540000;0.357000;18416.830000
0.360000;22250.850000;0.360000;20023.890000;0.360000;19417.590000;0.360000;20232.420000;0.360000;18551.900000;0.360000;17243.070000;0.360000;20523.790000;0.360000;17920.490000;0.360000;22847.860000;0.360000;18555.150000
0.363000;22457.090000;0.363000;20206.490000;0.363000;19588.630000;0.363000;20373.940000;0.363000;18693.200000;0.363000;17338.940000;0.363000;20640.790000;0.363000;18092.210000;0.363000;23062.550000;0.363000;18691.780000
0.366000;22661.460000;0.366000;20388.110000;0.366000;19758.820000;0.366000;20510.950000;0.366000;18834.220000;0.366000;17434.160000;0.366000;20754.730000;0.366000;18262.980000;0.366000;23277.140000;0.366000;18826.990000
0.369000;22864.810000;0.369000;20566.660000;0.369000;19925.580000;0.369000;20647.950000;0.369000;18970.890000;0.369000;17526.540000;0.369000;20867.820000;0.369000;18431.390000;0.369000;23489.720000;0.369000;18960.360000
