Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
9.00E-02;3409.67;9.00E-02;3079.01;9.00E-02;2856.5;9.00E-02;2906.19;9.00E-02;3207.13;9.00E-02;3477.87;9.00E-02;4048.39;9.00E-02;3175.04;9.00E-02;4172.24;9.00E-02;2256.42
9.30E-02;3540.49;9.30E-02;3189.36;9.30E-02;2960.12;9.30E-02;3010.24;9.30E-02;3319.43;9.30E-02;3600.73;9.30E-02;4184.26;9.30E-02;3286.61;9.30E-02;4311.45;9.30E-02;2341.28
9.60E-02;3655.4;9.60E-02;3302.19;9.60E-02;3063.74;9.60E-02;3118.96;9.60E-02;3436.4;9.60E-02;3724.29;9.60E-02;4320.75;9.60E-02;3398.96;9.60E-02;4451.25;9.60E-02;2429.49
9.90E-02;3770.31;9.90E-02;3417.14;9.90E-02;3172.6;9.90E-02;3228.78;9.90E-02;3553.89;9.90E-02;3852.26;9.90E-02;4457.85;9.90E-02;3515.75;9.90E-02;4594.33;9.90E-02;2517.75
0.1;3889.29;0.1;3535.85;0.1;3281.8;0.1;3342.17;0.1;3675.31;0.1;3980.23;0.1;4596.08;0.1;3632.53;0.1;4739.4;0.1;2610.26
0.11;4008.59;0.11;3655.49;0.11;3394.95;0.11;3457.74;0.11;3798.34;0.11;4111.61;0.11;4736.9;0.11;3753.91;0.11;4886.81;0.11;2702.77
0.11;4130.53;0.11;3779.73;0.11;3509.43;0.11;3575.54;0.11;3923.57;0.11;4243.17;0.11;4878.27;0.11;3875.49;0.11;5037.35;0.11;2799.05
0.11;4253.45;0.11;3903.96;0.11;3627.11;0.11;3696.26;0.11;4050.84;0.11;4375.4;0.11;5024.18;0.11;4000.12;0.11;5189.2;0.11;2896.14
0.11;4378.21;0.11;4033.09;0.11;3747.36;0.11;3818.2;0.11;4179.16;0.11;4507.85;0.11;5170.1;0.11;4125.65;0.11;5345.38;0.11;2996.51
0.12;4504.54;0.12;4162.34;0.12;3869.34;0.12;3943.93;0.12;4309.63;0.12;4642.35;0.12;5320.11;0.12;4252.65;0.12;5501.76;0.12;3098.78
0.12;4631.74;0.12;4294.66;0.12;3994.41;0.12;4069.87;0.12;4440.21;0.12;4778.43;0.12;5470.52;0.12;4380.7;0.12;5663.54;0.12;3203.15
0.12;4760.57;0.12;4427.82;0.12;4120.17;0.12;4199.33;0.12;4571.5;0.12;4916.19;0.12;5624.43;0.12;4509.53;0.12;5825.32;0.12;3310.15
0.13;4889.56;0.13;4561.94;0.13;4249.43;0.13;4328.78;0.13;4702.78;0.13;5056.78;0.13;5779.71;0.13;4639.56;0.13;5991.07;0.13;3418.49
0.13;5019.42;0.13;4696.7;0.13;4378.69;0.13;4459.01;0.13;4838.4;0.13;5198.31;0.13;5937.32;0.13;4770.31;0.13;6157.58;0.13;3530.78
0.13;5149.27;0.13;4832.92;0.13;4509.54;0.13;4589.36;0.13;4974.25;0.13;5344.09;0.13;6097.03;0.13;4903.88;0.13;6327.22;0.13;3643.37
0.14;5280.02;0.14;4971.3;0.14;4640.44;0.14;4721.56;0.14;5114.2;0.14;5489.86;0.14;6258.08;0.14;5037.5;0.14;6498.59;0.14;3760.17
0.14;5410.81;0.14;5110.63;0.14;4773.22;0.14;4854.63;0.14;5255.45;0.14;5640.1;0.14;6421.83;0.14;5175.35;0.14;6671.95;0.14;3876.98
0.14;5543.78;0.14;5253.46;0.14;4906.53;0.14;4990.01;0.14;5399.55;0.14;5790.4;0.14;6586.08;0.14;5313.21;0.14;6847.77;0.14;3997.42
0.14;5677.43;0.14;5396.41;0.14;5042.72;0.14;5127.79;0.14;5545.81;0.14;5943.82;0.14;6753.51;0.14;5454.51;0.14;7024.7;0.14;4118.38
0.15;5812.71;0.15;5544.15;0.15;5180.92;0.15;5267.15;0.15;5693.95;0.15;6098.06;0.15;6920.93;0.15;5596.53;0.15;7204.89;0.15;4241.41
0.15;5949.22;0.15;5691.89;0.15;5320.99;0.15;5410.16;0.15;5845.15;0.15;6254.71;0.15;7091.41;0.15;5741.08;0.15;7385.31;0.15;4365.39
0.15;6086.74;0.15;5843.8;0.15;5463.9;0.15;5553.67;0.15;5997.1;0.15;6412.96;0.15;7262.08;0.15;5887.06;0.15;7569.33;0.15;4489.74
